Account,date,daily_pnl,num_trades,avg_trade_size_usd,total_volume_usd,win_rate,long_short_ratio,avg_leverage,classification,cumulative_pnl,rolling_max_pnl,drawdown_proxy
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-09-02,183.593223,62,747.8363934426229,91236.04,0.1721311475409836,4.545454338842984,34.89180697635717,Unknown,13063.822542,13063.822542,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-10-02,1338.39845,66,868.6251644736842,264062.05,0.6085526315789473,0.6432432397662528,8.308469230473891,Unknown,14402.220992,14402.220992,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-11-02,869.757103,114,1215.386612021858,222415.75,0.16939890710382513,4.903225648283043,15.636631685801435,Unknown,15271.978095,15271.978095,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-12-02,0.0,44,999.666,49983.3,0.0,50000000.0,20.734868294742945,Unknown,15271.978095,15271.978095,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-01-12,34709.852428,6,856.4519672131147,52243.57,0.8032786885245902,0.24489795418575605,55.08989893252685,Greed,34709.852428,34709.852428,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-03-08,0.0,1,9281.686875,148506.99,0.0,16000000.0,0.06471909596358763,Greed,34709.852428,34709.852428,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-03-12,0.0,4,2941.1758823529412,99999.98,0.0,34000000.0,61.792893524366555,Greed,34709.852428,34709.852428,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-04-08,-14176.51042,2,13492.987,134929.87,0.0,3.999998000001,80.0000884496785,Greed,20533.342008,34709.852428,14176.510419999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-05-08,0.0,2,10053.805,20107.61,0.0,2000000.0,40.07542786722415,Greed,20533.342008,34709.852428,14176.510419999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-08,0.0,1,500.0,500.0,0.0,1000000.0,0.0,Fear,20533.342008,34709.852428,14176.510419999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-11,3360.9281,7,208.8205263157895,19837.95,0.5052631578947369,0.9791666462673616,56.03421278687209,Fear,23894.270107999997,34709.852428,10815.582320000001
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-08-08,-40.712216999999995,2,114.82,459.28,0.0,0.0,5.220495777608503,Fear,23853.557890999997,34709.852428,10856.294537000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-08-09,0.0,1,0.11,0.11,0.0,0.0,0.8415675675675675,Neutral,23853.557890999997,34709.852428,10856.294537000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-09-08,0.0,1,250.0,500.0,0.0,2000000.0,0.6367430367497955,Fear,23853.557890999997,34709.852428,10856.294537000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-09,-219.729659,1,890.27,1780.54,0.0,0.0,0.0014555999806084659,Neutral,23633.828231999996,34709.852428,11076.024196000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-12,0.0,1,13718.098750000001,109744.79000000001,0.0,8000000.0,49.01573579780279,Neutral,23633.828231999996,34709.852428,11076.024196000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-11-12,994.238977,2,165.00133333333332,2475.02,1.0,0.0,100.0,Greed,24628.067208999997,34709.852428,10081.785219000001
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-12-12,2512.437585,3,1374.4125000000001,5497.650000000001,1.0,0.0,91.99035622000738,Greed,27140.504793999997,34709.852428,7569.347634000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-03-02,20.596691,1,999.91,999.91,1.0,0.0,14.988081006284283,Fear,27161.101485,34709.852428,7548.750942999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-04-01,556.803152,2,213.09399999999997,1065.4699999999998,1.0,0.0,100.0,Fear,27717.904637,34709.852428,6991.947790999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-08-03,-1121.6509429999999,1,1250.705,2501.41,0.0,0.0,19.73095014517348,Unknown,26596.253694,34709.852428,8113.598733999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-08-04,-920.33629,1,1000.85,1000.85,0.0,0.0,14.74907437241104,Unknown,25675.917404,34709.852428,9033.935023999999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-10-02,30.785143,1,249.82,499.64,1.0,0.0,69.5697518255817,Unknown,25706.702546999997,34709.852428,9003.149881000001
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-10-04,-965.1214130000001,2,534.0066666666667,1602.02,0.0,0.0,14.022164369900807,Unknown,24741.581133999996,34709.852428,9968.271294000002
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-02-12,0.0,5,1779.0295454545455,78277.3,0.0,44000000.0,16.196979532555225,Greed,0.0,0.0,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-03-12,20925.513222,8,3898.738206896552,565317.04,0.7241379310344828,0.38095237732426307,6.258884899306469,Greed,20925.513222,20925.513222,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-04-12,0.0,1,0.1,0.1,0.0,0.0,0.007820354545454544,Greed,20925.513222,20925.513222,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-04-03,0.0,3,7268.525238095238,152639.03,0.0,21000000.0,33.24520619741761,Fear,20925.513222,20925.513222,0.0
